blueWins,blueWardsPlaced,blueFirstBlood,blueKills,blueDeaths,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWins,redWardsPlaced,redFirstBlood,redKills,redDeaths,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalMinionsKilled,redTotalJungleMinionsKilled
0,19,1,7,4,0,0,0,17226,7,228,61,1,14,0,4,7,1,0,0,15369,6.6,202,49
0,105,1,8,6,1,0,0,17474,6.8,217,53,1,65,0,6,8,0,0,0,16154,6.8,223,40
0,18,0,3,8,1,0,0,14905,6.8,233,52,1,18,1,8,3,0,0,0,18187,7.4,225,52
1,22,1,9,4,1,0,0,18132,7,228,40,0,21,0,4,9,0,0,0,15249,6.2,227,36
1,17,1,5,2,1,1,0,16053,6.8,218,51,0,15,0,2,5,0,0,0,14350,6.4,206,48
0,12,0,6,4,0,0,0,16438,6.8,203,32,1,19,1,4,6,1,0,0,15830,6.8,206,44
0,15,1,5,4,0,0,0,15634,6.8,201,45,1,14,0,4,5,1,0,0,15563,6.8,222,38
1,40,0,6,4,0,0,0,16085,7.4,204,56,0,15,1,4,6,1,0,0,15810,7.2,223,62
0,24,0,3,4,0,0,0,14981,6.8,235,52,1,17,1,4,3,1,1,0,15790,6.8,218,50
0,12,0,2,8,1,0,0,15421,7.2,217,84,1,14,1,8,2,0,0,0,18192,7.4,234,64
0,20,1,5,6,0,1,0,15665,6.8,203,48,1,40,0,6,5,1,0,0,17395,7,214,67
0,11,0,7,9,0,1,0,17528,7.2,234,68,1,18,1,9,7,1,0,0,18432,7,227,40
0,18,0,3,6,0,1,0,15032,6.6,213,48,1,36,1,6,3,1,0,0,16715,7,236,44
0,28,0,4,11,0,0,0,15483,6.8,222,48,1,41,1,11,4,1,0,0,18508,7.2,213,39
1,36,0,10,6,0,0,0,19226,7.4,231,44,0,16,1,6,10,0,0,0,16222,7,185,39
1,18,0,9,6,1,0,0,16945,6.8,204,36,0,17,1,6,9,0,0,0,15371,6.8,194,54
1,12,1,5,5,0,0,0,15000,6.6,233,16,0,19,0,5,5,0,0,0,16036,7,221,44
0,18,1,3,4,0,1,0,15888,7.4,252,60,1,39,0,4,3,1,0,0,15872,7,243,49
0,41,0,1,10,0,0,0,12925,6.4,187,32,1,12,1,10,1,0,1,1,19311,7.2,247,56
1,14,1,11,2,0,0,0,19250,7.6,251,48,0,15,0,2,11,0,0,0,14154,6.4,196,53
1,19,1,8,4,1,0,1,18355,7,218,54,0,13,0,4,8,0,0,0,15599,6.8,200,57
1,15,0,2,3,0,1,0,13978,6.6,180,44,0,12,1,3,2,0,0,0,14955,6.8,218,56
0,16,0,5,5,0,0,0,15851,6.8,206,56,1,38,1,5,5,0,0,0,16659,7.2,241,44
0,14,0,7,9,0,0,0,16474,6.6,209,50,1,22,1,9,7,1,0,0,18033,6.8,206,53
1,18,0,6,8,0,0,0,16590,7,213,49,0,12,1,8,6,0,0,0,16046,7,182,44
1,22,1,5,2,1,1,0,15737,7,217,53,0,16,0,2,5,0,0,0,14356,7,212,60
1,37,1,5,3,0,0,0,16990,7.4,248,54,0,15,0,3,5,1,0,0,14959,7,210,68
0,14,0,3,3,1,0,0,15297,7,246,56,1,20,1,3,3,0,0,0,15166,7.2,227,64
0,16,0,4,10,0,1,0,15651,7,224,53,1,30,1,10,4,1,0,0,18350,7.4,201,54
0,17,1,5,7,1,0,0,15587,6.8,181,63,1,14,0,7,5,0,0,0,17259,7.4,218,76
1,19,1,10,6,1,0,0,17777,7.2,213,42,0,18,0,6,10,0,0,0,16576,6.8,234,44
1,29,1,7,5,1,1,0,16426,7,222,55,0,14,0,5,7,0,0,0,16534,6.8,247,44
0,12,0,10,7,0,0,1,20278,7.2,236,58,1,20,1,7,10,1,0,0,15645,6.6,182,45
0,18,0,2,7,0,0,0,13791,6.6,191,62,1,18,1,7,2,1,0,0,16053,6.8,218,48
0,24,0,6,7,0,0,0,16505,7,208,70,1,17,1,7,6,1,0,0,16554,6.8,207,45
1,18,1,6,4,1,0,0,17277,7.2,229,54,0,36,0,4,6,0,1,0,15590,7.2,232,56
1,122,1,9,1,1,1,0,18269,7.2,229,68,0,14,0,1,9,0,0,0,14336,6.4,233,40
0,12,0,4,10,1,0,0,14166,6.6,203,41,1,16,1,10,4,0,0,0,18227,7.4,224,72
0,52,0,6,12,0,0,0,15456,6.6,188,42,1,15,1,12,6,0,1,1,20376,7.4,240,62
0,19,0,4,5,0,0,0,15180,7,210,52,1,11,1,5,4,0,0,0,16885,7.2,227,62
0,32,1,7,8,1,0,0,16179,6.8,212,46,1,24,0,8,7,0,1,0,16074,7,200,42
1,14,0,3,5,0,0,0,16026,7,233,57,0,11,1,5,3,1,0,0,16580,6.8,234,44
0,19,1,4,5,0,0,0,14850,6.8,198,53,1,18,0,5,4,1,0,0,15887,7,241,44
0,16,1,9,8,0,1,0,17347,7,202,62,1,13,0,8,9,1,0,1,18491,7,199,45
1,36,1,5,4,0,0,0,15887,6.8,200,32,0,12,0,4,5,1,0,0,14714,6.6,186,63
0,18,1,8,2,0,0,0,17399,7,232,44,1,13,0,2,8,1,0,0,14205,6.6,208,51
0,13,1,2,7,1,0,0,13828,6.6,204,38,1,12,0,7,2,0,0,0,16450,6.8,192,36
1,15,1,6,4,1,0,0,16645,7.2,242,52,0,15,0,4,6,0,1,0,15494,7,205,50
1,50,1,6,4,1,1,0,16248,6.8,200,52,0,48,0,4,6,0,0,0,14785,6.6,169,52
0,14,0,4,6,0,0,0,15310,7,221,52,1,15,1,6,4,1,1,0,16348,7.2,226,66
1,17,1,8,4,0,1,0,16784,6.6,212,40,0,13,0,4,8,0,0,0,15360,6.4,180,61
1,18,0,13,9,1,0,0,19032,7.4,232,44,0,12,1,9,13,0,0,0,18505,7,216,63
0,17,0,7,6,0,0,0,17518,7.2,242,46,1,52,1,6,7,1,1,0,15711,6.8,198,60
0,43,1,11,4,0,1,0,18976,7.4,256,43,1,16,0,4,11,1,0,0,16120,7.2,210,72
0,12,0,6,6,1,0,0,16143,6.6,204,56,1,13,1,6,6,0,1,0,17107,7,241,56
0,20,0,7,8,0,1,0,15868,7,199,51,1,42,1,8,7,1,0,0,16046,6.8,178,47
1,18,0,9,8,1,0,0,17977,7,235,41,0,16,1,8,9,0,0,0,17272,7,207,44
1,16,0,10,10,1,0,0,18138,7,208,55,0,15,1,10,10,0,0,0,17230,7,210,44
1,14,0,7,2,1,1,0,18025,7.2,261,68,0,25,1,2,7,0,0,0,14467,6.8,220,56
0,12,0,1,6,0,0,0,14625,6.8,241,56,1,53,1,6,1,1,0,0,15924,7,218,47
1,16,0,5,8,1,0,0,15752,6.6,201,48,0,19,1,8,5,0,0,0,17515,7.2,248,40
1,15,0,10,4,0,0,0,18480,7.4,232,64,0,12,1,4,10,0,0,0,15933,6.6,247,41
0,13,0,3,10,1,0,0,14995,6.6,210,53,1,20,1,10,3,0,1,0,18680,7.4,200,67
0,83,1,7,11,0,0,0,15655,6.4,194,25,1,35,0,11,7,1,0,0,19344,7.2,216,59
0,17,1,3,5,0,0,0,15562,7.2,236,73,1,33,0,5,3,1,1,0,16326,6.8,233,46
1,16,1,9,2,0,0,0,17139,7.2,223,51,0,14,0,2,9,1,0,0,14102,6.6,213,41
1,14,1,7,7,0,0,1,19229,7.2,257,62,0,19,0,7,7,1,0,0,15684,6.6,145,36
0,14,0,7,7,1,0,0,16972,7.2,209,48,1,16,1,7,7,0,0,0,18003,7.4,255,60
0,17,0,5,10,0,0,0,16249,7,213,59,1,16,1,10,5,1,0,0,18045,7,214,44
1,16,1,5,4,0,0,0,16415,6.8,247,37,0,17,0,4,5,1,0,0,14789,7,203,51
1,40,0,6,8,0,1,0,18012,7.2,250,70,0,12,1,8,6,1,0,0,17180,7,186,48
1,16,0,11,6,1,1,0,19294,7.4,242,52,0,14,1,6,11,0,0,0,16544,7,203,52
0,16,0,5,8,0,1,0,15383,6.8,227,28,1,11,1,8,5,0,0,0,16907,7,186,39
0,16,1,6,8,1,0,0,15777,6.6,224,53,1,20,0,8,6,0,0,0,17147,7,210,36
0,14,0,4,6,0,0,0,14805,6.6,209,43,1,17,1,6,4,1,0,0,16311,7,231,44
0,13,0,6,7,0,0,0,15244,6.6,199,52,1,17,1,7,6,1,1,0,16345,7,212,40
0,18,0,8,3,0,1,0,17574,7.2,252,44,1,15,1,3,8,1,0,0,14800,6.6,225,47
0,24,0,8,11,0,0,0,16655,7,222,44,1,13,1,11,8,1,1,0,18461,7,215,55
0,12,0,6,4,1,0,0,16855,7,248,44,1,16,1,4,6,0,1,0,15590,6.8,207,52
1,17,0,6,14,0,0,0,15786,6.6,200,46,0,16,1,14,6,1,0,0,20229,7.6,227,66
0,19,0,3,5,0,0,0,15143,7.2,233,59,1,16,1,5,3,1,0,0,16070,7,216,48
1,12,1,9,5,0,0,0,17309,7,221,36,0,14,0,5,9,1,1,0,15884,6.8,208,44
1,14,0,6,4,1,0,0,16416,7.4,211,60,0,14,1,4,6,0,0,0,15239,7,204,71
1,19,1,2,7,1,0,0,15222,7,231,64,0,17,0,7,2,0,1,0,16808,6.8,211,64
0,16,0,5,10,1,1,0,15526,6.8,232,44,1,15,1,10,5,0,0,0,18422,7.4,236,76
1,18,0,12,9,0,0,0,17597,6.4,143,48,0,12,1,9,12,0,0,0,16692,6.2,181,40
0,17,1,9,17,0,0,0,16834,6.2,187,29,1,31,0,17,9,0,0,0,20721,7,211,40
1,32,1,12,6,1,0,0,19058,7.2,202,47,0,16,0,6,12,0,0,0,15645,6.6,210,39
0,16,1,7,9,1,1,0,16806,7,228,48,1,34,0,9,7,0,0,0,17062,7.4,230,52
1,19,1,7,10,0,0,0,16643,6.8,227,44,0,17,0,10,7,0,0,0,18463,7.2,231,45
1,14,1,6,4,1,0,0,16189,6.8,224,39,0,102,0,4,6,0,0,0,15564,7,217,48
0,12,0,2,6,0,0,0,14095,6.8,196,60,1,14,1,6,2,1,0,0,17723,7,266,60
0,30,1,5,5,0,1,0,16804,6.8,217,67,1,16,0,5,5,1,0,0,16035,6.4,233,54
0,18,0,8,8,1,0,0,17305,7,229,43,1,18,1,8,8,0,1,0,17881,7,198,66
0,14,0,3,9,0,0,0,14539,6.4,213,40,1,42,1,9,3,1,0,0,18439,7.6,255,51
1,14,0,9,8,1,0,0,17530,7,192,43,0,19,1,8,9,0,1,0,17537,7.2,209,60
1,13,1,10,7,0,0,0,18431,7.2,207,44,0,14,0,7,10,1,0,0,16748,7,231,56
0,16,0,3,10,0,0,0,14032,6.8,193,40,1,17,1,10,3,1,0,0,18814,7.4,245,51
1,38,1,9,7,1,0,0,17869,7,205,40,0,14,0,7,9,0,0,0,17233,6.8,215,48
1,40,0,7,14,1,0,0,15974,6.2,183,37,0,13,1,14,7,0,0,0,19395,7.2,219,49
1,18,0,5,3,1,0,0,16108,7.2,240,61,0,39,1,3,5,0,0,0,15132,6.8,230,42
0,40,0,6,7,0,0,0,16302,6.8,212,52,1,17,1,7,6,0,1,0,16513,7.2,211,46
1,18,0,7,5,0,0,0,16750,6.8,215,52,0,35,1,5,7,0,0,0,15529,6.8,197,48
1,17,0,7,1,0,0,0,16506,7.2,226,36,0,35,1,1,7,1,0,0,14469,6.6,217,80
1,15,1,6,3,1,0,0,16389,7,241,36,0,38,0,3,6,0,0,0,15572,6.8,229,58
1,18,1,4,4,0,0,0,15760,7,215,48,0,15,0,4,4,1,0,0,15897,7,227,72
1,43,1,4,7,1,0,0,15176,6.4,226,33,0,23,0,7,4,0,0,0,16715,7.2,205,52
0,13,0,5,7,0,0,0,15196,6.4,191,48,1,62,1,7,5,1,0,0,16903,7,216,51
1,13,0,6,9,1,0,0,16250,7,228,55,0,17,1,9,6,0,0,0,16806,6.8,143,60
1,20,1,9,7,1,0,0,16541,6.6,199,37,0,12,0,7,9,0,1,0,16687,6.8,225,44
1,15,1,12,4,0,1,0,18657,7.2,227,37,0,15,0,4,12,1,0,0,14574,6.6,191,52
1,17,0,5,5,0,0,0,16873,7.2,223,64,0,38,1,5,5,1,0,0,15484,6.8,226,49
0,28,0,3,4,1,0,0,14383,6.4,211,55,1,16,1,4,3,0,1,0,15273,6.4,208,44
0,12,1,4,9,0,0,0,14420,6.4,192,32,1,18,0,9,4,0,0,0,16939,6.4,194,46
0,87,0,4,15,0,0,0,14720,6.2,183,30,1,10,1,15,4,0,0,0,19160,7.4,201,51
1,15,1,7,6,0,0,0,17406,7.2,251,64,0,17,0,6,7,1,1,0,16266,7.2,190,56
0,15,1,5,7,0,0,0,15210,6.4,172,40,1,13,0,7,5,0,0,0,16866,6.8,219,51
1,23,0,10,5,0,0,0,17272,6.4,192,40,0,37,1,5,10,1,1,0,15101,6.6,199,40
1,18,1,12,4,0,0,0,19358,7.2,206,60,0,14,0,4,12,0,0,0,15517,6.8,216,56
1,16,0,4,11,0,1,1,16855,6.6,232,40,0,37,1,11,4,1,0,0,17740,7.2,216,36
0,16,0,3,8,1,1,0,15209,6.6,191,60,1,17,1,8,3,0,0,0,17961,7.2,241,52
1,17,1,13,9,0,0,0,19542,7,207,31,0,17,0,9,13,0,0,0,17461,7,200,44
0,15,1,4,3,0,0,0,15267,6.6,232,53,1,16,0,3,4,0,0,0,14814,6.8,209,51
0,15,1,3,1,1,0,0,15243,6.6,224,56,1,40,0,1,3,0,1,0,14413,6.8,220,56
0,21,0,8,8,0,0,0,16214,6.8,203,48,1,17,1,8,8,0,0,0,16120,7,168,48
0,70,0,8,6,1,1,0,15976,7,178,56,1,13,1,6,8,0,0,0,16698,6.6,232,39
0,18,0,6,7,0,1,0,16557,6.8,230,47,1,38,1,7,6,1,0,0,18048,7,222,53
0,10,0,6,14,0,0,0,16142,6.8,198,59,1,13,1,14,6,1,1,0,19251,7,201,37
0,15,1,7,11,0,0,0,17984,7.2,230,56,1,16,0,11,7,1,0,0,17447,7.2,178,51
1,15,0,13,5,1,1,0,20038,7.8,222,71,0,39,1,5,13,0,0,0,15959,6.6,208,40
1,91,0,10,5,0,0,1,19571,7.2,213,50,0,17,1,5,10,0,0,0,15565,6.6,210,47
0,18,1,3,10,0,0,0,14557,6.4,200,48,1,16,0,10,3,1,1,0,18139,7.6,246,63
1,16,0,6,6,0,0,0,16029,7,205,56,0,19,1,6,6,1,0,0,16384,7,224,48
1,18,1,7,6,0,0,1,18053,6.6,207,46,0,41,0,6,7,0,0,0,14589,6.4,178,22
1,16,1,9,5,1,0,0,18098,7,225,60,0,12,0,5,9,0,1,0,15881,6.6,229,32
1,13,1,8,3,1,1,0,18343,7.2,235,59,0,13,0,3,8,0,0,0,15294,7,234,54
1,13,0,5,6,1,0,0,15596,7,198,44,0,25,1,6,5,0,0,0,15901,7,199,40
0,54,0,4,2,1,0,0,15812,7,229,53,1,15,1,2,4,0,1,0,14487,7,218,54
1,17,1,6,6,0,0,0,15947,6.4,221,44,0,14,0,6,6,1,0,0,16000,6.4,203,52
0,35,0,5,9,0,0,0,14997,6.6,196,40,1,16,1,9,5,1,0,0,17862,6.8,237,32
0,10,1,7,7,0,0,0,16463,6.8,215,42,1,33,0,7,7,1,0,0,16556,7,217,40
0,19,1,6,7,0,0,0,16072,6.6,225,46,1,15,0,7,6,1,0,0,16492,7.2,212,50
1,22,1,7,3,1,0,0,19140,7.4,253,64,0,60,0,3,7,0,1,0,14132,6.8,179,45
0,19,1,4,6,0,0,0,14547,6.4,188,53,1,19,0,6,4,1,1,0,16621,6.8,196,56
1,14,0,5,4,0,1,0,15644,6.8,188,63,0,20,1,4,5,0,0,0,15647,6.6,190,48
0,15,1,5,5,0,0,0,15734,7,213,47,1,21,0,5,5,1,1,0,16571,7,249,47
1,38,1,5,5,1,0,0,16794,6.8,229,39,0,37,0,5,5,0,1,0,16284,7.2,216,55
0,16,0,6,11,1,0,0,15930,6.8,200,43,1,14,1,11,6,0,0,0,19479,7.4,214,60
1,17,0,6,6,0,0,0,16936,7.2,240,56,0,56,1,6,6,1,0,0,16664,6.8,199,68
1,18,1,9,5,0,0,0,17941,7.2,230,51,0,45,0,5,9,0,0,0,15754,7,206,52
0,19,0,2,8,0,0,0,13698,6.2,222,33,1,18,1,8,2,0,1,1,18605,7,242,40
1,14,1,5,4,1,0,0,15943,7.4,238,64,0,16,0,4,5,0,0,0,15880,7,210,64
1,17,0,4,8,0,1,0,15891,7,222,68,0,15,1,8,4,1,0,0,18023,7,230,47
0,12,0,5,6,0,1,0,16216,7,211,71,1,15,1,6,5,1,0,0,17192,7.6,222,69
0,86,1,3,5,0,0,0,14754,6.6,186,62,1,36,0,5,3,1,0,0,16096,7.2,218,54
1,16,1,8,2,1,0,0,16909,7.2,229,40,0,14,0,2,8,0,0,0,14605,6.2,208,44
1,15,0,10,2,0,0,0,18858,7.2,218,70,0,83,1,2,10,1,0,0,14639,6.6,219,56
0,22,1,6,7,0,0,0,15952,6.8,180,45,1,46,0,7,6,0,0,0,18001,7.2,243,46
0,16,0,1,5,0,0,0,13286,6.2,187,48,1,20,1,5,1,1,0,0,17465,7,236,67
0,17,0,6,6,0,0,0,16812,7.2,269,40,1,19,1,6,6,1,0,0,16878,7,245,56
1,16,0,9,7,1,1,0,17906,6.8,178,60,0,14,1,7,9,0,0,0,17396,6.8,215,56
0,15,1,4,3,0,1,0,16408,7.2,263,53,1,15,0,3,4,1,0,0,13817,6.8,208,35
0,14,1,4,12,0,0,0,15056,6.4,198,46,1,13,0,12,4,1,0,1,18828,7.4,177,53
0,25,1,6,6,1,0,0,17831,6.8,240,43,1,17,0,6,6,0,0,0,16866,7,233,51
0,11,0,1,5,0,0,0,13738,6.6,223,34,1,14,1,5,1,1,1,0,17206,7.4,259,70
1,25,1,14,3,0,0,0,20317,7.4,212,54,0,13,0,3,14,0,0,0,14164,6.4,196,45
0,15,0,0,5,0,0,0,14091,6.4,233,60,1,56,1,5,0,1,0,0,16307,7,229,60
0,17,0,6,11,1,0,0,16036,6.6,191,39,1,19,1,11,6,0,0,0,18344,7.2,206,28
1,17,1,6,6,0,1,0,17052,6.6,210,54,0,14,0,6,6,1,0,0,15135,7,194,51
0,14,0,4,7,0,0,0,16354,7,268,52,1,13,1,7,4,1,0,0,18030,7.4,244,84
1,18,1,10,5,1,0,0,18297,7.2,242,48,0,13,0,5,10,0,0,0,15588,6.8,214,60
0,17,0,6,8,0,0,0,15748,6.6,222,36,1,40,1,8,6,1,0,0,17052,6.8,216,46
1,42,1,8,5,1,0,0,17886,7.4,229,59,0,14,0,5,8,0,0,0,16062,7.2,222,60
0,17,0,11,8,0,0,0,17069,6.6,174,38,1,17,1,8,11,1,1,0,16840,6.8,212,44
1,15,0,4,4,0,1,0,16631,7.2,252,57,0,29,1,4,4,0,0,0,15124,7,214,56
0,12,0,1,5,1,0,0,14766,7,231,65,1,17,1,5,1,0,0,0,16553,7,235,61
0,14,0,8,7,0,0,0,17113,7.2,234,49,1,15,1,7,8,0,0,0,16298,6.8,182,52
0,13,0,5,14,1,0,0,15120,6.6,167,48,1,15,1,14,5,0,0,0,19887,7.8,238,44
0,13,0,4,6,0,0,0,15339,6.6,221,43,1,15,1,6,4,1,0,0,17200,7,262,64
0,68,0,1,14,1,0,0,13438,5.8,174,53,1,15,1,14,1,0,0,1,21093,7,234,29
1,20,0,4,9,0,0,0,15582,6.8,212,56,0,12,1,9,4,0,0,0,17640,7.2,224,54
1,16,0,5,5,1,0,0,15441,6.6,201,52,0,18,1,5,5,0,0,0,16016,6.8,213,64
0,12,1,4,2,0,1,0,16002,7.2,245,61,1,15,0,2,4,0,0,0,14237,6.8,212,58
0,13,1,5,5,0,1,0,16009,6.8,220,40,1,15,0,5,5,1,0,0,15469,6.8,185,54
1,16,0,12,9,0,0,0,18106,6.6,186,48,0,17,1,9,12,1,0,0,17244,6.8,204,48
1,35,1,6,2,1,0,0,16501,6.6,221,44,0,15,0,2,6,0,0,0,13740,6.6,201,40
0,14,0,3,8,0,0,0,15505,6.8,227,61,1,84,1,8,3,1,0,0,16754,7.2,214,44
1,35,0,5,5,0,0,0,16195,7,244,60,0,17,1,5,5,1,0,0,16270,7,217,52
1,18,1,14,5,1,0,0,20294,6.8,230,48,0,17,0,5,14,0,0,0,14489,5.8,178,28
0,22,0,5,7,0,1,0,15475,7,198,59,1,13,1,7,5,1,0,0,16285,7,212,52
0,124,1,5,4,0,1,0,16243,7,225,51,1,17,0,4,5,0,0,0,15209,6.8,227,47
1,18,1,3,7,0,0,0,15065,6.6,231,50,0,17,0,7,3,0,1,0,17660,7.4,260,51
1,22,0,1,2,0,0,0,14359,6.8,228,55,0,16,1,2,1,1,0,0,14693,6.6,223,48
1,13,1,11,4,1,1,1,19377,7.4,233,44,0,15,0,4,11,0,0,0,15571,7,231,44
0,34,0,2,7,0,0,0,14135,6.8,220,37,1,13,1,7,2,0,0,0,16846,7.2,230,58
1,24,1,8,4,0,0,0,17448,6.8,242,48,0,17,0,4,8,0,0,0,14897,6.6,195,46
0,50,1,6,3,1,0,0,15958,6.6,213,48,1,37,0,3,6,0,0,0,15892,6.8,254,60
0,16,0,10,5,1,0,0,18287,7.2,213,52,1,36,1,5,10,0,0,0,16045,6.8,225,47
0,13,0,2,5,0,1,0,15534,7,252,51,1,13,1,5,2,0,0,0,16427,7,231,44
0,33,0,2,5,0,0,0,14935,7,230,56,1,17,1,5,2,1,0,0,16143,7,248,43
1,13,0,12,4,0,0,0,19331,7.2,255,50,0,17,1,4,12,1,0,0,15328,6.8,215,50
1,17,0,8,6,1,0,0,17131,7.4,240,43,0,13,1,6,8,0,0,0,16312,7,206,52
1,78,1,9,3,0,0,0,17983,7,230,52,0,18,0,3,9,0,1,0,13974,6.6,183,49
0,16,0,5,6,1,0,0,16842,7,221,58,1,16,1,6,5,0,0,0,17101,7.4,247,64
0,22,1,9,6,0,0,0,17569,6.8,212,40,1,11,0,6,9,0,0,0,15841,7,180,56
0,15,0,5,5,0,1,0,15882,6.8,241,48,1,15,1,5,5,1,0,0,15408,6.4,207,36
0,19,1,9,3,0,0,0,17049,6.8,202,41,1,17,0,3,9,0,0,0,15186,6.8,204,58
0,40,0,1,7,0,0,0,13556,6.8,200,48,1,17,1,7,1,1,0,0,17402,7.2,253,52
0,13,0,1,3,0,0,0,14692,7,227,47,1,17,1,3,1,1,0,0,17065,7.2,250,76
1,15,0,8,7,1,0,0,17000,6.6,204,49,0,14,1,7,8,0,0,0,16782,6.8,209,55
1,31,1,6,4,0,0,0,17200,7.2,235,59,0,20,0,4,6,0,0,0,14992,6.6,215,40
0,44,0,5,7,1,0,0,15409,7.2,217,64,1,17,1,7,5,0,0,0,16849,7.2,241,52
0,27,0,10,12,1,0,0,17283,6.4,184,36,1,14,1,12,10,0,0,0,18128,6.8,208,68
0,16,0,5,9,0,0,0,15477,6.4,173,47,1,12,1,9,5,1,0,0,18112,7,241,43
1,54,0,6,1,1,1,0,16763,7,224,51,0,37,1,1,6,0,0,0,13946,6.4,207,56
1,13,0,9,5,1,1,0,18434,7.4,223,70,0,16,1,5,9,0,0,0,15622,7.2,226,55
0,17,0,1,6,0,0,0,13731,6.6,218,44,1,24,1,6,1,1,0,0,17595,7.2,263,48
1,14,0,5,6,1,0,0,17251,7.4,233,76,0,16,1,6,5,0,0,0,16917,7,230,60
1,12,1,7,6,1,0,0,17051,7,246,44,0,16,0,6,7,0,0,0,15142,6.4,196,40
0,14,1,7,7,0,0,0,16346,7,209,44,1,33,0,7,7,0,0,0,16692,7.2,182,67
1,24,1,14,4,0,0,0,21095,7.6,249,67,0,13,0,4,14,1,0,0,15293,6.2,186,44
1,14,1,6,4,1,0,0,16434,7,228,47,0,12,0,4,6,0,0,0,15349,6.6,220,48
0,36,1,4,11,1,0,0,15834,6.8,197,56,1,16,0,11,4,0,0,0,18217,7.4,182,59
1,40,0,8,9,0,1,0,16968,7,214,45,0,25,1,9,8,0,0,0,16662,6.6,208,33
0,19,1,5,7,0,0,0,15949,6.8,209,51,1,19,0,7,5,1,0,0,17517,7.2,215,71
1,17,0,5,7,1,0,0,16056,6.8,234,56,0,39,1,7,5,0,1,0,17475,7,227,52
1,27,1,10,6,0,1,0,18392,6.8,222,52,0,18,0,6,10,1,0,0,16129,6.4,213,60
1,17,1,6,2,0,0,0,16415,7.2,230,43,0,17,0,2,6,1,0,0,15041,6.8,217,51
1,18,0,14,4,1,0,0,19948,7.4,220,56,0,66,1,4,14,0,0,0,15647,6.6,205,60
1,13,1,9,4,0,0,0,18189,7,220,54,0,15,0,4,9,0,0,0,14284,6.2,181,52
